id,title,view_count,upload_date,duration,channel,channel_id,webpage_url
BdYSsshllTQ,「今夜はここに泊まらせてください」松川水害遭難事故1969年【地図とアニメで解説】,597713,20260830,1402,,,https://www.youtube.com/watch?v=BdYSsshllTQ
P9HD0gaElgM,標高7000m、10㎝の岩壁で生き残る。2002年10月ギャチュン・カン【地図とアニメで解説】,740918,20260816,1791,,,https://www.youtube.com/watch?v=P9HD0gaElgM
Z8RBTyphbCo,6歳で誓った復讐の果て…1人で102頭討伐。三毛別ヒグマ事件1915年【地図とアニメで解説】,499414,20260802,1874,,,https://www.youtube.com/watch?v=Z8RBTyphbCo
Lo9f9dWehOU,進んだ人、止まった人、引き返した人 2012年5月4日 白馬岳遭難事故【地図とアニメで解説】,509864,20260719,1145,,,https://www.youtube.com/watch?v=Lo9f9dWehOU
-5d6SaPYd-M,1946年12月21日、午前4時19分 昭和南海地震【地図とアニメで解説】,634619,20260705,1348,,,https://www.youtube.com/watch?v=-5d6SaPYd-M
WA2q8TQAhVA,「こんな景色はなかなかないね」1km滑落。2025年3月 甲斐駒ヶ岳滑落事故【地図とアニメで解説】,269811,20260621,1105,,,https://www.youtube.com/watch?v=WA2q8TQAhVA
pdc2280wFxw,「歩きに行ってくる♪」146日後…死後わかった本当の理由 エマ・ゲイトウッド アパラチアン・トレイル単独踏破【地図とアニメで解説】,330315,20260607,1246,,,https://www.youtube.com/watch?v=pdc2280wFxw
RnYIPt3fifc,【十勝岳噴火】噴火25分で、死者・行方不明144人。1926年5月24日 十勝岳大正泥流【地図とアニメで解説】,910595,20260524,1234,,,https://www.youtube.com/watch?v=RnYIPt3fifc
wSJLaPBxLPI,ビキニ登山家、凍死。なぜビキニ？2019年1月台湾ビキニ登山家滑落事故【地図とアニメで解説】,525814,20260517,1128,,,https://www.youtube.com/watch?v=wSJLaPBxLPI
H5ScP6zpLME,「行けるところまで行こう」…2019年甲武信ヶ岳遭難事故【地図とアニメで解説】,388985,20260503,1125,,,https://www.youtube.com/watch?v=H5ScP6zpLME
2WRoZ_2Hrb8,帰国前夜、時速360kmの爆風で6人死亡。スキルブルム雪崩事故1997年8月【地図とアニメで解説】,225209,20260419,1227,,,https://www.youtube.com/watch?v=2WRoZ_2Hrb8
BesiDYOCnvw,わかっていたのに…43人死亡。雲仙普賢岳噴火1991年6月,1020301,20260405,1433,,,https://www.youtube.com/watch?v=BesiDYOCnvw
Oq6bATE_Ql4,広告なし【スミレの朗読】『桜の森の満開の下』(坂口 安吾),,20260402,2293,,,https://www.youtube.com/watch?v=Oq6bATE_Ql4
q7GguQB8N1M,「ヒグマは人を襲わない」TBS発表と食い違う事実…「どうぶつ奇想天外」写真家襲撃事故1996年【地図とアニメで解説】,659365,20260322,1319,,,https://www.youtube.com/watch?v=q7GguQB8N1M
fG900Hqj2oU,一晩で18人死亡、6人行方不明。富士山大量遭難事故1972年【地図とアニメで解説】,445104,20260320,1144,,,https://www.youtube.com/watch?v=fG900Hqj2oU
mS0N-BSOvNg,これが「DQNの川流れ」玄倉川水難事故1999年【アニメで解説】,1678219,20260308,1718,,,https://www.youtube.com/watch?v=mS0N-BSOvNg
Wt4wuXr9BEU,広告なし【スミレの朗読】『なめとこ山の熊』(宮沢 賢治),,20260226,1778,,,https://www.youtube.com/watch?v=Wt4wuXr9BEU
pYti8dDKzzY,なぜ裸足で外へ？消えた9人。ディアトロフ峠事件、60年後の真相【地図とアニメで解説】,451748,20260301,1506,,,https://www.youtube.com/watch?v=pYti8dDKzzY
1pbyMYsEySQ,消えた2才｜4日後、78歳が30分で発見！ 山口2歳児行方不明2018年8月【地図とアニメで解説】,292686,20260222,1060,,,https://www.youtube.com/watch?v=1pbyMYsEySQ
R0zYVdglwY0,【広告なし】立山遭難事故 現地取材動画 ノーカット版,,20260214,5447,,,https://www.youtube.com/watch?v=R0zYVdglwY0
Pjyc6m2GFGk,担任「多分行けるだろう」おススメコースで死亡 六甲山落石事故1985年【地図とアニメで解説】,184356,20260215,989,,,https://www.youtube.com/watch?v=Pjyc6m2GFGk
HiS3tqrpBfc,置き去り、自殺…一人ずつ、全滅。スコット隊南極遭難1912年【地図とアニメで解説】,747447,20260208,1572,,,https://www.youtube.com/watch?v=HiS3tqrpBfc
yXF96jAeA4g,【広告なし】睡眠・作業用遭難事例5選⑧,,20260206,7292,,,https://www.youtube.com/watch?v=yXF96jAeA4g
zqZh25jHRCM,「骨折で動けない」 2024年乾徳山滑落事故【地図とアニメで解説】,296119,20260201,1229,,,https://www.youtube.com/watch?v=zqZh25jHRCM
TBxPf_0DTWI,「今がチャンスだ！」火の渦に消えた18人｜1971年呉市山林火災【地図とアニメで解説】,192411,20260125,1112,,,https://www.youtube.com/watch?v=TBxPf_0DTWI
Oe8csbT6O9U,死者数820超…遭難数ギネス記録【視聴者が選ぶ心に残る動画総集編①】,335156,20260124,8460,,,https://www.youtube.com/watch?v=Oe8csbT6O9U
H5NeEHWyQRc,「今度はお前が狂ったな」兄弟殺しの真相 ラインホルトメスナー ナンガパルバット遭難事故1970年【地図とアニメで解説】,192265,20260118,1377,,,https://www.youtube.com/watch?v=H5NeEHWyQRc
PMKrT_E8PBo,毎月山で再会!? 位置情報で狙われた登山者 SNS悪用ストーカー事件2015年【地図とアニメで解説】,273237,20260111,1217,,,https://www.youtube.com/watch?v=PMKrT_E8PBo
umKNYeQ5fHM,広告なし【スミレの朗読】『日記帳』(江戸川 乱歩),,20260107,1583,,,https://www.youtube.com/watch?v=umKNYeQ5fHM
DuMmKPqHhtc,雪渓の大穴、雪の下の仲間。大朝日岳滑落事故2008年【地図とアニメで解説】,275986,20260104,973,,,https://www.youtube.com/watch?v=DuMmKPqHhtc
11YhDQcc-C0,【広告なし】睡眠・作業用遭難事例5選⑦,,20251228,6749,,,https://www.youtube.com/watch?v=11YhDQcc-C0
TKqmNYB1ozk,植村直己はなぜ戻らなかったのか マッキンリー遭難事故1984年【地図とアニメで解説】,1564596,20251228,1201,,,https://www.youtube.com/watch?v=TKqmNYB1ozk
Zt6sEgV_Cpw,毎年1000人道迷い。迷う前にコレ！道迷い対策最新版 2025年総集編④,164741,20251227,12585,,,https://www.youtube.com/watch?v=Zt6sEgV_Cpw
Zvk6jYZLwqQ,エリート弁護士を襲う地獄の連鎖 2025年5月霞沢岳遭難事故【地図とアニメで解説】,900026,20251221,2148,,,https://www.youtube.com/watch?v=Zvk6jYZLwqQ
o6QLkUtV1mE,そんな準備で大丈夫か！？行く前に○○！登山準備最新版 2025年総集編③,150454,20251220,21394,,,https://www.youtube.com/watch?v=o6QLkUtV1mE
m2CCN5YAbdM,噴火5秒後…全滅。15の事例に学ぶ2025年総集編②【自然災害特集】,83046,20251213,22048,,,https://www.youtube.com/watch?v=m2CCN5YAbdM
