ASSET-009_still	PASS	2冊の記録（左が古い）・壁に四つ足で牙をむくヒグマの影・左奥に本体。文字なし
ASSET-027_still	PASS	泥の足跡2つ（爪痕あり）・黄色の折り尺（数字なし・目盛りのみ）・左に沢・奥に去るヒグマの後ろ姿。人物・手なし。早春
ASSET-029_char	PASS	CHAR-01（オリーブの上着・茶の帽子・黒っぽいズボン）全身・白背景。手にカゴだけ、もう片手は空、鈴・道具なし。カートゥン
ASSET-029_bg	PASS	早春の山腹の小道（裸木・落ち葉・山菜の芽）、奥に日本海。人物なし。中央が空いている
ASSET-129_char	PASS	観光協会の職員（紺のベスト・白ブラウス・灰ズボン）正面・頬に手・フォルダ・心配顔。全身・白背景
ASSET-129_bg	PASS	海岸の岩柱・空の駐車場・シャッターの閉まった売店・曇天。人物なし。左の案内板は文字が読めない（原寸で確認）
ASSET-144_bg	PASS	12月の雪の役場風2階建て・入口右・左が空き・奥に海と雪山。人物なし。入口横の銘板は判読不能（原寸で確認）
ASSET-147_bg	PASS	12月の雪の林縁に箱わな3基。手前の1基に捕獲されたヒグマ（四つ足・金網越し）、奥2基は扉が上がって空。左が空き。人物なし
ASSET-165_bg	PASS	春の山菜の道（ササ・ギョウジャニンニク・奥に海）左下→右上。右奥のササ藪にヒグマが半身を隠し頭を低く道の方（左）を向く（原寸で確認）。人物なし
ASSET-165_char	PASS	左=拡声器で止める手振りの町職員（紺の上着・帽子）、中=心配顔の高齢女性（藤色カーディガン）、右=驚くリュックの若い旅行者（赤）。3人全身・白背景。職員の眉がやや険しいが「急ぎの呼びかけ」として許容
ASSET-177_char	PASS	道の職員（灰スーツ・紺ネクタイ・白髪交じり・ひげなし）正面、白紙の資料を右手人差し指で指す。落ち着いた真剣顔。全身・白背景
ASSET-008_still	PASS	真横。CHAR-03（えんじの上着・低いお団子・布バッグ）が右へ歩き前を向いたまま、左のササ藪から四つ足のヒグマが牙をむき爪を出して飛び出す接触直前。顔は後頭部と耳のみで特定不能（原寸で確認）。早春
ASSET-005_still	FAIL(v1)	背中に「北海道警察」「せたな消防」の読める文字＝実在機関。プロンプトに無地指定を追加して再生成
ASSET-005_still	PASS(v2 Codex)	捜索者4人の背中（無地の制服・文字なし＝原寸で確認）・沢・対岸に毛布で覆われ手が見える女性。早春・残雪は日陰のみ。顔なし
ASSET-177_bg	PASS(Codex)	対策本部の机・壁に牙をむくヒグマの大判写真・地図・窓外に海。人物なし。地図・書類・ファイルの文字は判読不能（原寸で確認）
ASSET-180_still	PASS(Codex)	受話器が外れた黒い電話・湯気の立つお茶・白紙のメモ帳・地図・空の椅子・窓外に芽吹きの木と海。人物なし
ASSET-189_still	PASS(Codex＋札の文字を消去)	夏のビート畑脇の扉の閉じた箱わなに四つ足のヒグマ。札の「ヒグマ捕獲檻 今金町」を無地の金属板に塗り直し（修正前はrejected/）
ASSET-192_still	PASS(Codex)	箱わなの中の成獣オスのヒグマ全身を真横から、四つ足・牙・逆立つ毛・爪。夏のビート畑。文字なし
ASSET-209_char	PASS(Codex)	山菜採りの男女2人（緑の上着・ベージュ）がクマの絵のチラシを一緒に読む。カゴに鈴。ひげなし。チラシの文字は線のみで判読不能。全身・白背景
ASSET-219_still	PASS(Codex)	夕暮れの高台の木の柵に白い菊、奥に森の丘と日本海。人物なし
ASSET-008_video	PASS(0〜4.7秒に切り出し)	8秒版は5秒以降に女性の横顔が特定可能・最後にクマの口が肩に接触→0〜4.7秒（後ろ姿の女性→ササから飛び出すクマ→突進の寄り）に切り出し。元はrejected/
ASSET-009_video	PASS	暗がりからヒグマが2冊の記録の上へ迫り、壁に大きな影。寄っていくカメラ。文字・人物なし。8秒
ASSET-027_video	PASS	足跡へ寄るカメラ・足跡に水がしみ出す・奥のクマが木立へ消える。人物なし。8秒
ASSET-005_video	PASS	捜索者4人（無地の制服）が沢辺で立ち尽くし、1人が帽子を取る。対岸に毛布の女性。顔は後頭部・耳まで（原寸で確認）。8秒
ASSET-219_video	PASS	夕暮れの高台の柵に白い菊、奥に日本海、ゆっくり寄る。人物なし。8秒
